headline,date,time,view,like,share,comment,category,tag
สุวัจน์รับผิดคาดที่นั่ง ส.ส. ลด เผยชาติพัฒนาไม่ห่วงเป็นฝ่ายค้านหรือรัฐบาล แต่ห่วงเสถียรภาพการเมืองมากกว่า,01.04.2019,,72K,,Loading...,,"Thailand,Politics","สุวัจน์ ลิปตพัลลภ,พรรคชาติพัฒนา,เทวัญ ลิปตพัลลภ,วรรณรัตน์ ชาญนุกูล,ดล เหตระกูล"
‘สมศักดิ์’ เชื่อ คนมั่นใจนโยบาย ‘พลังประชารัฐ’ มากกว่าการโจมตี-ป้ายสีผ่านสื่อออนไลน์,01.04.2019,,229K,,Loading...,,"Thailand,Politics","พรรคพลังประชารัฐ,สมศักดิ์ เทพสุทิน"
Huawei ประกาศรายได้พุ่งทะลุ 1 แสนล้านเหรียญ ยอดขายสมาร์ทโฟนโต 45% ในปี 2018 แม้มีแรงกดดันจากสหรัฐฯ,29.03.2019,,78K,,Loading...,,"World,Tech",Huawei
"สมาคมโฆษณาดิจิทัลเผยเม็ดเงินโฆษณาไทยปี 61 พุ่ง 17,000 ล้านบาท เฟซบุ๊กครอง 29% คาดปี 62 แตะ 20,000 ล้านบาท",29.03.2019,,75K,,Loading...,,Business,"สมาคมโฆษณาดิจิทัล (ประเทศไทย),สื่อโฆษณา,ธุรกิจโฆษณา"
แนวร่วมรวมตัวลงชื่อถอดถอน กกต. กดดันให้เผยผลคะแนนภายใน 1 เมษายน พร้อมเคลื่อนไหวและปักหลักชุมนุม,31.03.2019,,222K,,Loading...,,"Thailand,Politics","การเลือกตั้ง,กกต.,เลือกตั้ง ส.ส.,แนวร่วมเพื่อการเลือกตั้งที่เป็นธรรม"
บอร์ด ทอท. เดินหน้าประมูลดิวตี้ฟรีรายเดียว แยกสุวรรณภูมิกับอีก 3 สนามบิน ขายซอง 1 เมษายนนี้,29.03.2019,,296K,,Loading...,,Business,"Duty Free,สนามบินสุวรรณภูมิ,สินค้าปลอดภาษี,บริษัท ท่าอากาศยานไทย จำกัด (มหาชน)"
“คู่แข่งของวีซ่าคือเงินสด” ก้าวที่ไม่เคยหยุดของฟินเทครายแรกของโลก ผ่านมุมมองผู้จัดการวีซ่า ประเทศไทย [Advertorial],29.03.2019,,983K,,Loading...,,Business,"Advertorial,Digital Disruption,สุริพงษ์ ตันติยานนท์,Visa Thailand"
ธนาธรประกาศมอบรายงานการศึกษาไฮเปอร์ลูปไว้เป็นสมบัติสาธารณะ วิพากษ์วิจารณ์ได้เต็มที่,01.04.2019,,532K,,Loading...,,"Thailand,Politics","Hyperloop,ธนาธร จึงรุ่งเรืองกิจ,พรรคอนาคตใหม่"
เกร็ดน่ารู้ การเลือกตั้งในประชาคมโลกปี 2019,29.03.2019,,132K,,Loading...,,World,"การเลือกตั้ง,การเลือกตั้งในประชาคมโลก"
มาดูโรประกาศใช้นโยบายจำกัดการใช้ไฟฟ้านาน 30 วัน รับมือวิกฤตการณ์ในเวเนซุเอลา,01.04.2019,,209K,,Loading...,,World,"Venezuela,Nicolas Maduro,วิกฤตเวเนซุเอลา"
พรุ่งนี้ นายกฯ ลงพื้นที่เชียงใหม่ นั่งหัวโต๊ะบัญชาการแก้ไขปัญหาฝุ่น-หมอกควันภาคเหนือ,01.04.2019,,167K,,Loading...,,"Thailand,Environment","ประยุทธ์ จันทร์โอชา,เชียงใหม่,มลภาวะทางอากาศ,PM2.5"
นิวยอร์กผุดมาตรการเก็บค่าธรรมเนียมรถติด หวังแก้ปัญหาจราจรในแมนฮัตตัน,01.04.2019,,107K,,Loading...,,World,"New York,New York Times,ปัญหาจราจร"
กรมควบคุมมลพิษ เผยสถานการณ์หมอกควันภาคเหนือ ภาพรวมค่อนข้างรุนแรง พบการเผาแจ้งเจ้าหน้าที่ด่วน,01.04.2019,,119K,,Loading...,,"Thailand,Environment","กรมควบคุมมลพิษ,มลภาวะทางอากาศ"
กำนันในคลิปนับคะแนนไม่โชว์บัตรเลือกตั้ง เปิดใจเป็นการนับทวนรอบ 2 หลังนับรอบแรกจำนวนบัตรไม่ตรงคะแนน,01.04.2019,,163K,,Loading...,,"Thailand,Politics",บัตรเลือกตั้ง
สมเด็จพระเจ้าอยู่หัว พระราชทานพระราโชวาท วันข้าราชการพลเรือน “ผลประโยชน์แผ่นดินเป็นเป้าหมายสูงสุด”,01.04.2019,,250K,,Loading...,,Thailand,"สมเด็จพระเจ้าอยู่หัวมหาวชิราลงกรณ บดินทรเทพยวรางกูร,วันข้าราชการพลเรือน"
ซูซานา คาปูโตวา สร้างประวัติศาสตร์ชนะเลือกตั้ง ครองเก้าอี้ประธานาธิบดีหญิงคนแรกของสโลวาเกีย พร้อมสนับสนุนสิทธิ LGBTQ+,01.04.2019,,179K,,Loading...,,World,"LGBTQ,ประธานาธิบดีหญิง,Slovakia,Zuzana Caputova"
บันทึกความเปลี่ยนแปลงและความยิ่งใหญ่ของธรรมชาติผ่านภาพ Landscape ด้วยสายตาของ ‘รชฏ วิสราญกุล’ [Advertorial],30.03.2019,,"5,989K",,Loading...,,"Thailand,Living","Sony,Advertorial,รชฏ วิสราญกุล,Sony Meets Art"
เผยตัวเลขบัตรสวัสดิการแห่งรัฐ 14.5 ล้านราย ส่วนใหญ่ใช้จ่ายที่ร้านธงฟ้าถึง 5.5 หมื่นล้านบาท,01.04.2019,,180K,,Loading...,,"Thailand,Business","กระทรวงการคลัง,บัตรสวัสดิการแห่งรัฐ"
ประกาศแล้ว! ‘เรวะ’ ยุคสมัยใหม่ของแผ่นดินญี่ปุ่นภายใต้สมเด็จพระจักรพรรดิพระองค์ใหม่ เริ่มต้นอย่างเป็นทางการ 1 พ.ค. นี้,01.04.2019,,"1,172K",,Loading...,,World,"Japan,ราชวงศ์ญี่ปุ่น"
วิกฤตฝุ่น pm2.5 เชียงใหม่ ถ่ายจากจุดชมวิวดอยสุเทพ,30.03.2019,,325K,,Loading...,,Thailand,"ดอยสุเทพ,PM2.5,ปัญหามลพิษ"
KResearch ชี้หนี้ครัวเรือนพุ่งอีก 2.2% ส่วนใหญ่เป็นหนี้บ้าน-รถ เชื่อปีนี้คนไทยจะรัดเข็มขัดมากขึ้น,01.04.2019,,103K,,Loading...,,Business,"หนี้ครัวเรือน,ศูนย์วิจัยกสิกรไทย"
พลังประชารัฐมั่นใจได้ตั้งรัฐบาลแน่ คสช. จับตาชุมนุมต้าน กกต. วันนี้ ย้ำช่วยรักษาความสงบบ้านเมือง,31.03.2019,,983K,,Loading...,,"Thailand,Politics","ประยุทธ์ จันทร์โอชา,กกต.,วินธัย สุวารี,พรรคพลังประชารัฐ,ธนกร วังบุญคงชนะ,การจัดตั้งรัฐบาล"
George Clooney เรียกร้องให้แบนโรงแรมหรูทั้งหมดของกษัตริย์บรูไน หลังประกาศกฎหมายแขวนคอ-ปาหิน LGBTQ+,31.03.2019,,443K,,Loading...,,"Film,POP,LGBTQ","LGBT,LGBTQ,Brunei,George Clooney,Criminal Code Order"
ปิดฉาก 16 ปีหนังสือพิมพ์โพสต์ทูเดย์ อำลาแท่นพิมพ์สู่สนามสื่อดิจิทัลเต็มตัว,31.03.2019,,230K,,Loading...,,"Thailand,Business",โพสต์ทูเดย์
ราชกิจจานุเบกษาเผยแพร่ประกาศนายทะเบียนพรรคการเมืองยุบพรรคไทยรักษาชาติแล้ว,02.04.2019,,112K,,Loading...,,"Thailand,Politics","ราชกิจจานุเบกษา,พรรคไทยรักษาชาติ"
อากาศภาคเหนือยังน่าห่วง เชียงรายค่า AQI แตะ 471 มหาวิทยาลัยแม่ฟ้าหลวงสั่งปิดเรียน 2 วันแล้ว,31.03.2019,,74K,,Loading...,,Thailand,"มลพิษทางอากาศ,PM2.5,มหาวิทยาลัยแม่ฟ้าหลวง,AQI"
"ย้อนความทรงจำ 27 ปี 22,709 งานของศูนย์การประชุมแห่งชาติสิริกิติ์ ก่อนรีโนเวตครั้งใหญ่ [Advertorial]",02.04.2019,,"1,397K",,Loading...,,Thailand,"Advertorial,ศูนย์การประชุมแห่งชาติสิริกิติ์"
กกต. ออกเอกสารแจงข่าวเท็จ ปมเพิกถอนสิทธิเลือกตั้ง 117 เขตไม่เป็นความจริง อยู่ระหว่างสืบสวน เป็นอำนาจศาลฎีกา,01.04.2019,,122K,,Loading...,,"Thailand,Politics","การเลือกตั้ง,กกต.,เลือกตั้ง ส.ส."
เคลื่อนศพ ‘ทูตวีรชัย’ อย่างสมเกียรติ จากสหรัฐฯ สู่มาตุภูมิ ถึงประเทศไทยวันนี้,02.04.2019,,579K,,Loading...,,Thailand,วีรชัย พลาศรัย
ชาวเวเนซุเอลาประท้วงเรียกร้องรัฐบาลแก้ปัญหา หลังตลอดเดือนมีนาคมไฟฟ้าดับครั้งใหญ่ยาวนานเกินกว่า 3 สัปดาห์,31.03.2019,,243K,,Loading...,,World,"Venezuela,วิกฤตเวเนซุเอลา"
เรือญี่ปุ่นยุติการล่าวาฬมิงค์ในนามคณะกรรมการการล่าวาฬระหว่างประเทศแล้ว พร้อมล่าวาฬเพื่อการค้าอีกครั้ง 1 ก.ค. นี้,31.03.2019,,339K,,Loading...,,World,"Japan,การล่าวาฬ,IWC,การล่าวาฬเพื่อการค้า"
นายกฯ บินเชียงใหม่ ดูสถานการณ์หมอกควัน มอบอุปกรณ์สนับสนุนให้กำลังใจเจ้าหน้าที่ รู้ว่าทุกคนเหน็ดเหนื่อย,02.04.2019,,181K,,Loading...,,"Thailand,Environment","ประยุทธ์ จันทร์โอชา,เชียงใหม่,มลภาวะทางอากาศ"
รองโฆษกพลังประชารัฐขอบางกลุ่มหยุดเคลื่อนไหวการเมือง แม้เป็นสิทธิตาม รธน. แต่อยากให้เคารพผู้อื่นด้วย หวั่นขัดแย้งอีก,02.04.2019,,121K,,Loading...,,"Thailand,Politics",พรรคพลังประชารัฐ
แชมป์ที่ 2 ของปี! ‘น้องเมย์’ โค่น เหอปิงเจียว คว้าแชมป์ India Open 2019,31.03.2019,,258K,,Loading...,,Sport,"เมย์-รัชนก อินทนนท์,YONEX-SUNRISE India Open 2019"
พลเอก ประวิตร รับเยี่ยมคำนับ พลโท ฮุน มาเนต เดินหน้าร่วมมือขยายความมั่นคง แก้ปัญหาหมอกควันจากการเผาป่า,01.04.2019,,41K,,Loading...,,"Thailand,Politics","คงชีพ ตันตระวาณิชย์,ประวิตร วงษ์สุวรรณ,Cambodia,การแก้ปัญหา PM2.5,Hun Manet"
